abstract,title,year,cleaned
"There are some obvious controversies about the role of trams in China's urban public transportation system, and the development of trams is quite different between China and abroad. Through comprehensive and systematic analyses of policies, strategies, planning, construction, implementation, etc., this paper finds that for most Chinese cities which cannot meet the conditions of building subways and light rails in China, it is necessary for them to guide the development of trams scientifically. However, the main reason that the development of trams is in trouble in Chinese cities is the widespread misunderstanding and misuse of key elements such as the role, definition, application of trams. Therefore, this paper argues that trams need to be matched and coordinated with the innovative spatial planning structures of “medium and small scale”, such as “15-minute city” and “life circle” under the “emission peak and carbon neutrality” background, and then put forward five important principles for trams applying to the development of Chinese cities. © 2024 The Authors.","Practical Reflection on Trams and Prospect of Its Application under Strategic Goals of ""Emission Peak and Carbon Neutrality""",2025,obvious controversy tram public transportation system tram quite abroad comprehensive systematic analysis policy strategy construction implementation etc find meet condition building subway light rail guide tram scientifically reason tram trouble widespread misunderstanding misuse element definition application tram argues tram need matched coordinated innovative spatial structure medium small scale -minute life circle emission peak carbon neutrality background put forward five principle tram applying
"Increasing attention is being directed toward understanding the impact of urban built environments on children’s health. The concept of the 15-minute city, or “15-minute life circle”, in China is significant; however, the needs of the pediatric population are often overlooked. Walkability and accessibility to urban service facilities are crucial for promoting children’s well-being. This paper focuses on the old city of Guilin in western China as a case study. It investigates the service facilities within a 15-minute life circle that affect children’s physical health, mental health, and social engagement. Utilizing the Walking Index method, this study assesses the walkability and rationality of these facilities in 621 neighborhoods. Data were gathered from 200 questionnaires and interviews with children, concentrating on their daily use of these facilities, supplemented by a multi-source analysis. The findings reveal that the Walking Index in the study area is generally low, with an uneven distribution, primarily influenced by road network density, block size, and urban landscape patterns. This study proposes the development of a “Children’s Healthy 15-minute Life Circle”, which would increase child-friendly service facilities, pedestrian infrastructure, and urban road network density. It also advocates for constructing service facilities that enhance children’s health and the optimization of the spatial arrangement of these facilities. Furthermore, it suggests the effective utilization of urban landscapes to create a diverse system of leisure spaces for children. This study offers valuable insights for enhancing the walkability of urban life circle service facilities and establishing a child-friendly city. © 2025 by the authors.",Is the Children’s 15-Minute City an Effective Framework for Enhancing Children’s Health and Well-Being? An Empirical Analysis from Western China,2025,increasing attention directed toward understanding impact built environment child health concept -minute -minute life circle need pediatric population often overlooked walkability accessibility service facility crucial promoting child well-being focus old guilin western case investigates service facility within -minute life circle affect child physical health mental health social engagement utilizing walking index method assesses walkability rationality facility neighborhood data gathered questionnaire interview child concentrating daily facility supplemented multi-source analysis reveal walking index generally low uneven primarily influenced road network density block size landscape pattern proposes child healthy -minute life circle increase child-friendly service facility pedestrian infrastructure road network density advocate constructing service facility enhance child health optimization spatial arrangement facility suggests effective utilization landscape create diverse system leisure space child offer valuable enhancing walkability life circle service facility establishing child-friendly
"The concept of the 15-minute city is increasingly being adopted globally as a pathway towards the vision of a just city. However, this distributive justice-based discourse is also used to justify and depoliticize radical planning interventions, particularly relocation, which profoundly impact the lifeworlds of affected individuals. Despite improved accessibility and the reallocation of resources, relocatees’ perceived injustice persists. This study aims to address a critical question: How does relocation planning impact the lifeworlds of affected communities, and how does this contribute to the sense of injustice experienced by relocatees? The theoretical framework we used critically examines spatial justice theories, emphasizing their inherent “logic of equation”, which reduces people’s complex lived experiences and subjective realities to measurable data and numbers, thereby disrupting individuals’ lifeworlds. Empirically, this study conducted a case study of a relocation project in Shanghai’s inner city, utilizing mind mapping to visualize the spatial perceptions and activities of 15 residents before and after relocation, complemented by interviews with these residents and two planning officials. While the planners’ evaluations indicate improved built environments post relocation, the findings reveal significant disruptions to the residents’ socio-spatial networks, particularly among the elderly. These disruptions diminished their capacity and willingness to engage with the new space, fostering a persistent sense of injustice. This study concludes that addressing planning disruptions requires policies that go beyond material redistribution to restore and reshape people’s lifeworlds. © 2025 by the authors.",Beyond Distribution: Critique of Spatial Justice Theories—Case Study of Shanghai’s 15-Minute City,2025,concept -minute increasingly adopted globally pathway towards vision distributive justice-based discourse justify depoliticize radical intervention relocation profoundly impact lifeworlds affected individual despite improved accessibility reallocation resource relocatees perceived injustice persists aim address critical question relocation impact lifeworlds affected community contribute sense injustice experienced relocatees theoretical critically examines spatial justice theory emphasizing inherent logic equation reduces people complex lived experience subjective reality measurable data number thereby disrupting individual lifeworlds empirically conducted case relocation project inner utilizing mind mapping visualize spatial perception activity resident relocation complemented interview resident official planner evaluation indicate improved built environment post relocation reveal disruption resident socio-spatial network elderly disruption diminished capacity willingness engage new space fostering persistent sense injustice concludes addressing disruption requires policy beyond material redistribution restore reshape people lifeworlds
"In recent years, the 15-minute city has gained prominence as a vision for urban development, aiming to create attractive and vibrant neighborhoods where essential services are within a 15-minute walk. However, its implementation raises concerns about socio-spatial segregation, as the potential increase in desirability of these neighborhoods—combined with various underlying factors—can lead to increased housing prices, potentially excluding economically vulnerable groups. Despite its popularity, few studies have thoroughly explored how access to the 15-minute city varies among different socio-economic groups and across different cities and towns, highlighting a significant research gap. This study aims to explore potential socio-economic inequalities in 15-minute city access across the 200 largest built-up areas in Sweden. Specifically, our study compares average incomes among residents living in neighborhoods that either meet or do not meet various 15-minute city criteria within each built-up area. These criteria are designed to operationalize the proximity dimension of the 15-minute city by capturing which residents that have access to different sets of non-work urban social functions (e.g., healthcare, restaurants, retail) within 1 km from their homes. Two research questions guide the study: Are there differences in access to the 15-minute city, in terms of proximity to non-work urban social functions, across different income groups in Swedish built-up areas? How do variations in the types of functions included in the 15-minute city model, as well as differences in built-up areas characterized by population size, density, land use mix, and the proportion of older buildings, affect these outcomes? Findings reveal significant impact from both the definition of the 15-minute city and across different types of built-up areas. When the 15-minute city only encompasses basic functions such as a grocery store, school, restaurant, etc., average incomes are lower, irrespective of population size. However, mean incomes are notably higher for residents who can locally access many different urban social functions, indicative of larger cities with a higher population density and jobs-to-worker ratio. This highlights a cautionary aspect for cities and planners implementing the 15-minute city vision, as the city characteristics strongly correlated with effective adherence to the 15-minute city may also contribute to excluding lower-income groups. © 2024 The Author(s)",Exploring socio-economic inequalities in access to the 15-minute city across 200 Swedish built-up areas,2025,recent year -minute gained prominence vision aiming create attractive vibrant neighborhood essential service within -minute walk implementation raise concern socio-spatial segregation increase desirability neighborhood combined underlying lead increased housing price potentially excluding economically vulnerable group despite popularity study thoroughly explored access -minute varies socio-economic group town highlighting aim explore socio-economic inequality -minute access largest built-up specifically compare average income resident living neighborhood either meet meet -minute criterion within built-up criterion designed operationalize proximity dimension -minute capturing resident access set non-work social function healthcare restaurant retail within home question guide difference access -minute proximity non-work social function income group swedish built-up variation type function included -minute model difference built-up characterized population size density land mix proportion older building affect outcome reveal impact definition -minute type built-up -minute encompasses basic function grocery store school restaurant etc average income lower irrespective population size mean income notably higher resident locally access many social function indicative larger higher population density jobs-to-worker ratio highlight cautionary planner implementing -minute vision strongly correlated effective adherence -minute contribute excluding lower-income group
"Healthy cities and proximity urban models have become rising trends in the planning discussion. Urban environments that foster walkability, green infrastructures and intergenerational spaces play a key role in developing healthier cities. Urban proximity strategies, such as Paris’ 15-minute city, are now renowned for aiming to have essential daily services close to home. However, they came from long-standing urban traditions such as the Neighbourhood Unit in the U.S. or Time Planning in Italy or Germany. This study explores how four cities, Barcelona, Bergamo, Ottawa and Portland that showcase some of these traditions, integrate proximity and urban health into their planning policies. Despite the diversity of scales, approaches and tools adopted (regional, territorial or urban; land use, health or mobility; plans, regulations or recommendations), some common principles arose that yield a more purposeful vision of proximity. It includes improving urban communication, promoting sustainable transport, fostering intergenerational inclusion, and developing green and pedestrian infrastructures. The article underscores the fact that, notwithstanding the different strategies, the four cities are successfully integrating proximity and health into their city plans. The presented discussion provides a framework to guide these kinds of efforts in future cases. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","Proximity planning for healthier cities: lessons from Barcelona, Bergamo, Ottawa, and Portland",2025,healthy proximity model become rising trend discussion environment foster walkability green infrastructure intergenerational space play developing healthier proximity strategy -minute renowned aiming essential daily service close home came long-standing tradition neighbourhood unit time explores four bergamo ottawa portland showcase tradition integrate proximity health policy despite diversity scale approach tool adopted regional territorial land health mobility plan regulation recommendation common principle arose yield purposeful vision proximity includes improving communication promoting sustainable transport fostering intergenerational inclusion developing green pedestrian infrastructure underscore fact notwithstanding strategy four successfully integrating proximity health plan presented discussion guide kind effort future case
"The concept of a x-minute (or 15-minute) city has recently gained prominence as an influential urban planning approach. Recent research showed how American, Canadian, and Australian cities operationalized the concept differently using diverse temporal cut-off values and types of destinations. Despite this, there has been little effort to understand how different 15-minute city policies are comparable, and to what extent physical elements in cities can affect realizing the concept. To address this gap, this study aims to understand parallels and differences between these policies while understanding the impacts of the city's structuring elements on the probability of achieving them. Using a wide array of spatial and transportation data for the City of Saskatoon, the paper develops five different 15-minute city policies based on four different city plans at the parcel level. Using summary statistics and multilevel logistic regressions previous policies were analyzed. The study shows considerable differences between policies in terms of the conclusions they convey. For example, different policies led to diverse results regarding their relationship with people's socioeconomic issues, and thereby equity assessment. Additionally, the study shows that some physical elements such as highways, large parks, and rail lines have a consistent negative impact on the probability of realizing 15-minute city goals, regardless of the used policy. Other elements had a mixed effect according to the used policy. This study offers cities a better understanding of the performance of different 15-minute city policies and the relative challenges in realizing them, helping cities achieve their broader sustainability and equity goals. © 2024 The Author(s)",Developing a 15-minute city policy? Understanding differences between policies and physical barriers,2025,concept x-minute -minute recently gained prominence influential recent showed canadian operationalized concept differently diverse temporal cut-off value type destination despite little effort understand -minute policy comparable extent physical element affect realizing concept address aim understand parallel difference policy understanding impact structuring element probability achieving wide array spatial transportation data saskatoon develops five -minute policy four plan parcel summary statistic multilevel logistic regression previous policy analyzed show considerable difference policy conclusion convey example policy led diverse regarding relationship people socioeconomic thereby equity assessment additionally show physical element highway large park rail line consistent negative impact probability realizing -minute regardless policy element mixed effect according policy offer better understanding performance -minute policy relative realizing helping achieve broader sustainability equity
"Most x-minute city studies focus on liveability and neighborhood accessibility to local services, but rarely include primary employment. This paper complements these studies by examining the urban employment structure and transport dynamics of an Australian city under the 20-minute city concept framework. To do this, we develop a comprehensive method to model residents’ job access time using census-based journey to work (JTW) data and detailed household activity and travel survey. Analysing JTW time stepping down to diverse industry and employment categories and transport modes allows new insight into the disparity in residents’ job and housing locations and transport choices at local scales. By evaluating the distribution of working residents, types of employment, and transport performance, this paper examines possible policy responses and challenges of change in expanding the 20-minute planning target for employment. The analysis suggests that housing infill development could support reduced JTW time for residents experiencing longer time for work travels. However, this would require active planning of both land-use mix and dwelling design to meet prevalent household expectations about dwelling size and quality. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",How workable is a 20-minute city in Australia? Re-examining the challenge of change in spatial labour and job relations,2025,x-minute study focus liveability neighborhood accessibility local service rarely include primary employment complement study examining employment structure transport dynamic -minute concept develop comprehensive method model resident job access time census-based journey work jtw data detailed household activity travel survey analysing jtw time stepping diverse industry employment category transport mode allows new disparity resident job housing location transport choice local scale evaluating working resident type employment transport performance examines possible policy response change expanding -minute target employment analysis suggests housing infill support reduced jtw time resident experiencing longer time work travel require active land-use mix dwelling design meet prevalent household expectation dwelling size
"As part of efforts to reduce carbon emissions, the concept of n-minute cities has been proposed. Although many global cities have attempted to implement this idea, there is still a lack of quantitative research on n-minute cities. This study aims to analyze factors that influence living radii by utilizing mobile phone location-based mobility big data and spatial regression analysis, thereby contributing to the implementation of n-minute cities. By distinguishing between pre- and post-COVID-19 periods and between commuting and non-commuting travel, this study reveals decreased average travel distances in the post-pandemic period and identifies factors influencing living radii, thereby favoring the concept of n-minute cities. During the post-COVID-19 period, the impact of factors such as population density, commercial facilities, and the job-housing ratio on travel distance has shifted, while neighborhood living and cultural facilities maintain consistent influence. This underscores the importance of prioritizing these aspects in n-minute city planning. Additionally, the mix of residential and business uses consistently affects shorter commuting distances, highlighting its critical role in n-minute city development. This study is significant for identifying urban environmental factors that effectively reduce living radii based on actual travel behaviors. © 2024 Elsevier Ltd",Neighborhood-level determining factors of travel distance by trip purpose: Policy implications for the N-minute city,2025,part effort reduce carbon emission concept n-minute proposed although many attempted implement idea still lack quantitative n-minute aim analyze living radius utilizing mobile phone location-based mobility big data spatial regression analysis thereby contributing implementation n-minute distinguishing pre- post-covid- period commuting non-commuting travel reveals decreased average travel distance post-pandemic period identifies influencing living radius thereby favoring concept n-minute post-covid- period impact population density commercial facility job-housing ratio travel distance shifted neighborhood living cultural facility maintain consistent underscore importance prioritizing n-minute additionally mix residential business us consistently affect shorter commuting distance highlighting critical n-minute identifying environmental effectively reduce living radius actual travel behavior
"To address the growing challenges urban sprawl poses, it is essential to understand its influence on urban transportation, a primary source of economic, social, and environmental impact. This study fills this gap by quantifying the consequences of sprawl on transportation efficiency, proposing an interdisciplinary methodology that integrates knowledge from operations research. Specifically, adopting a broad European perspective, we investigate how urban sprawl correlates with travel distances and optimal routes in 156 spatially heterogeneous cities across 28 European countries. We discover a significant correlation between five sprawl indicators (Land usage, Gini coefficient, Shannon entropy, Moran I index, and Bribiesca index) and both travel distances and routes by car and bicycle: transportation is inherently less efficient in cities with higher levels of sprawl. Among the considered indicators, Shannon entropy emerges as the best predictor of route efficiency. We offer insights into the geography of sprawl in Europe, finding that many Spanish cities stand out for their compactness and route efficiency, while hotspots of sprawl are present in many Western and Central European countries. Our results underline the underestimated importance of addressing urban sprawl to reduce transportation's economic, social, and environmental costs and encourage policymakers and urban planners to prioritize compact city development to foster sustainable urban growth. © 2024 The Author(s)",Urban Sprawl and Routing: A Comparative Study on 156 European Cities,2025,address growing sprawl pose essential understand transportation primary source economic social environmental impact fill quantifying consequence sprawl transportation efficiency proposing interdisciplinary methodology integrates knowledge operation specifically adopting broad perspective investigate sprawl correlate travel distance optimal route spatially heterogeneous country discover correlation five sprawl indicator land usage gini coefficient shannon entropy moran index bribiesca index travel distance route car bicycle transportation inherently less efficient higher sprawl considered indicator shannon entropy emerges best predictor route efficiency offer geography sprawl finding many spanish stand compactness route efficiency hotspot sprawl present many western central country underline underestimated importance addressing sprawl reduce transportation economic social environmental cost encourage policymakers planner prioritize compact foster sustainable
"Walking is the primary travel mode for daily errands, leisure, and accessing local services, particularly for most seniors. Sufficient and diverse facilities within walking distance help improve seniors’ well-being. Countries today face the challenge of providing enough facilities for more seniors and adopt some possible solutions, such as China’s 15-minute community life circle. Focused on Jiande, a medium-sized city in southeast China, we propose an assessment framework with three dimensions: availability, diversity, and balance among medical, living, and leisure facilities. Using GIS network analysis, this study reveals disparities in facility provision at the household-level between earlier and newer developed urban areas, which are closely related to geographical factors and gated communities. This is common in Chinese cities, suggesting the cumulative effects of urban development sequences. To alleviate and prevent serious service inequity, we propose the following two strategies to achieve an equally walkable city: increasing landscape services to overcome geographical obstacles and implementing open-gated community strategies. Furthermore, the limitations of relying solely on big data to calculate walking routes were noted. This diagnostic framework for assessing city environments for seniors is straightforward yet comprehensive and potentially promotes cooperation between planning professionals, policymakers, and the public. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group on behalf of the Architectural Institute of Japan, Architectural Institute of Korea and Architectural Society of China.","Evaluating 15-minute walkable life circles for the senior: a case study of Jiande, China",2025,walking primary travel mode daily errand leisure accessing local service senior sufficient diverse facility within walking distance help improve senior well-being country today face providing enough facility senior adopt possible solution -minute community life circle focused jiande medium-sized southeast propose assessment dimension availability diversity balance medical living leisure facility gi network analysis reveals disparity facility provision household-level earlier newer developed closely geographical gated community common suggesting cumulative effect sequence alleviate prevent serious service inequity propose following strategy achieve equally walkable increasing landscape service overcome geographical obstacle implementing open-gated community strategy limitation relying solely big data calculate walking route noted diagnostic assessing environment senior straightforward yet comprehensive potentially cooperation professional policymakers public
"Science skeptics have spent years attacking climate science, but it has only been recently that post-COVID-19 conspiracy theorists have directed their attention to local city planning, with misinformation campaigns throwing vitriol at the idea of the 15-minute city and denouncing planning best practices as a global form of social engineering with hidden agendas to restrict private freedoms. In this context, urban planners and practitioners need to understand the nature of conspiracy claims and distinguish legitimate concerns about the 15-minute city model. As science skeptics and conspiracy theories gain ground in all sectors of our societies, researchers and city planners need to communicate evidence-based decision making and address science-driven concerns. © 2024 The Author(s). Published with license by Taylor & Francis Group, LLC.","Decoding the 15-Minute City Debate: Conspiracies, Backlash, and Dissent in Planning for Proximity",2025,science skeptic spent year attacking climate science recently post-covid- conspiracy theorist directed attention local misinformation campaign throwing vitriol idea -minute denouncing best form social engineering hidden agenda restrict private freedom planner practitioner need understand nature conspiracy claim distinguish legitimate concern -minute model science skeptic conspiracy theory gain ground sector society researcher planner need communicate evidence-based decision making address science-driven concern
"Controlling urban sprawl are the overarching challenges facing cities worldwide. This article delves into the pivotal role of policy entrepreneurship throughout the planning and implementation phases of compact city initiatives. Drawing insights from the experiences of Aomori City and Toyama City in Japan, this study scrutinizes the drivers behind the shift toward urban compactness and its consequent outcomes. The incorporation of policy studies theories into the realm of compact city development has been scant. To bridge this gap, the research leverages process-oriented theories from policy studies to dissect the decision-making processes guiding compact city development in these two pivotal municipalities. Through this investigation, it is revealed that the effective transition to compact urbanization in Japanese municipalities predominantly stems from policy entrepreneurship. The author posits that this achievement is primarily attributed to adept local mayors who possess the acumen to cater to specific local needs. © The Author(s) 2024.",Compact City and Mayoral Entrepreneurship: A Study of Success and Setbacks in Two Japanese Cities,2025,controlling sprawl overarching facing worldwide delf pivotal policy entrepreneurship throughout implementation phase compact initiative drawing experience aomori toyama scrutinizes driver behind shift toward compactness consequent outcome incorporation policy study theory realm compact scant bridge leverage process-oriented theory policy study dissect decision-making process guiding compact pivotal municipality investigation revealed effective transition compact urbanization municipality predominantly stem policy entrepreneurship posit achievement primarily attributed adept local mayor possess acumen cater local need
"Many scholars and planners emphasise the role of compact cities in sustainable urban development. Compact urban form is seen as a way to encourage people, for example, to drive less and walk more, which reduces transport-related GHG emissions. This argument, however, is strongly dependent on local amenity development that can support such local living. In plan-making, a common practice is to try to ensure the realisation of services with a high Gross Floor Area (GFA) residential infill development to raise the local population density. In this paper we are seeking quantitative insight on the resolution under which urban density, as measured by GFA volume, correlates with the growth of urban amenities and liveability. Specifically, we are seeking the direction in which correlation changes when moving from a larger geographical scale (low resolution) towards a smaller scale (high resolution) of walkable reach. Our study shows a clear correlation between urban amenities and planned GFA at low-resolution scales, but that correlation decreases at higher-resolution scales (walkable neighbourhood level), indicating that urban amenities tend to cluster in different locations than density is planned. Based on these findings, we argue that, if the aim of urban planning is to foster the growth of local amenities, it should shift its focus towards larger patterns of urban development rather than emphasising GFA in detailed plan-making. © The Author(s) 2024.",Compact city and urban planning: Correlation between density and local amenities,2025,many scholar planner emphasise compact sustainable compact form seen way encourage people example drive less walk reduces transport-related ghg emission argument strongly dependent local amenity support local living plan-making common try ensure realisation service high gross floor gfa residential infill raise local population density seeking quantitative resolution density measured gfa volume correlate amenity liveability specifically seeking direction correlation change moving larger geographical scale low resolution towards smaller scale high resolution walkable reach show clear correlation amenity planned gfa low-resolution scale correlation decrease higher-resolution scale walkable neighbourhood indicating amenity tend cluster location density planned argue aim foster local amenity shift focus towards larger pattern rather emphasising gfa detailed plan-making
"Access to services is a keystone of the 15-Minute City, an urban setup where residents can access basic services within 15-minutes of active transport from their homes. Whether Informal Urban Communities (IUCs) which are usually associated with negative connotations can qualify as a 15-Minute City is unknown. We investigated the extent to which IUC in Ayigya, Ghana satisfies this access condition. The findings show shorter travel durations and distances in reaching all selected activities. Underpinned by affordable travel costs, positive travel satisfaction, and walking as the largest modal share, Ayigya satisfies the 15-Minute City criterion of access to socioeconomic activities. © 2024 The African Specialty Group of the American Association of Geographers.",Do informal urban communities in Ghana qualify as a 15-Minute City based on access to socioeconomic activities?,2025,access service keystone -minute setup resident access basic service within -minutes active transport home whether informal community iucs usually associated negative connotation qualify -minute unknown investigated extent iuc ayigya ghana satisfies access condition show shorter travel duration distance reaching selected activity underpinned affordable travel cost positive travel satisfaction walking largest modal share ayigya satisfies -minute criterion access socioeconomic activity
"During the last decades of the twentieth century, in several Western European countries, the increase of diffuse and dispersed urbanization on large territories outside the compact cities, was considered by several urbanism actors (architects, urbanists, geographers, economists, sociologists) as very difficult to name using the stabilized urban vocabulary. According to these specialists, faced with these urban/rural deep transformations, some signifiers (countryside, periphery, city, etc.) appeared as dated and inadequate: new definitions have therefore been proposed. In this European framework of terminological inventions, we have focused our attention on the production of neologisms by Italian urbanists. We study the relationship between the evolution of the urban phenomenon and the production of neologisms, to understand their use and their stabilization in the specialized language. Especially, we study the meaning and the use of three new lexical interpretative images in different texts (campagna urbanizzata, urbanizzazione diffusa and città diffusa). © 2022 Informa UK Limited, trading as Taylor & Francis Group.",Italian neologisms to name diffuse urbanization. Relationships between specialised language and urbanism actions,2025,last decade twentieth century western country increase diffuse dispersed urbanization large territory outside compact considered urbanism actor architect urbanists geographer economist sociologist difficult name stabilized vocabulary according specialist faced rural deep transformation signifier countryside periphery etc appeared dated inadequate new definition proposed terminological invention focused attention production neologism italian urbanists relationship evolution phenomenon production neologism understand stabilization specialized language especially meaning new lexical interpretative image text campagna urbanizzata urbanizzazione diffusa citt diffusa
"This paper presents a GIS-based methodology to assess the potential of planning residues - zoning areas designated for public services but left unimplemented - as strategic assets in promoting green-oriented urban regeneration in the City of Turin (Italy). Within the framework of the city's new Land Use Plan, the study explores how these residual Areas to be Transformed for Services (ATS) can serve as spatial anchors for future neighbourhood-scale service hubs, aligned with ecological transition goals and the '15-minute city' paradigm. The proximity-based spatial analysis evaluates land use/land cover and regulatory zoning within a 300-meter buffer around each ATS, offering a quali-quantitative understanding of urban morphology and green infrastructure distribution. A pilot application in District No. 4 highlights local disparities in service provision and green space access, supporting site-specific planning strategies. Findings confirm that planning residues, if reactivated, can strengthen public infrastructure, enhance climate resilience, and contribute to a more inclusive, ecologically sound urban fabric. The proposed approach illustrates how underutilised urban land can inform flexible, place-based planning tools capable of addressing contemporary urban challenges, particularly in high-density, service-poor areas. © Published under licence by IOP Publishing Ltd.",A Green-Oriented GIS-Based Proximity Analysis of Planning Residues for the New Land Use Plan of Turin (Italy),2025,present gis-based methodology assess residue zoning designated public service left unimplemented strategic asset promoting green-oriented regeneration turin within new land plan explores residual transformed service at serve spatial anchor future neighbourhood-scale service hub aligned ecological transition -minute paradigm proximity-based spatial analysis evaluates land land cover regulatory zoning within -meter buffer around at offering quali-quantitative understanding morphology green infrastructure pilot application district highlight local disparity service provision green space access supporting site-specific strategy confirm residue reactivated strengthen public infrastructure enhance climate resilience contribute inclusive ecologically sound fabric proposed illustrates underutilised land inform flexible place-based tool capable addressing contemporary high-density service-poor
"The 15-minute city concept promotes urban accessibility and sustainability by ensuring essential services are available within a 15 min walk or bike ride. This study examines the feasibility of this model in El Rehab City, Egypt, using geographic information systems (GIS) and network analysis to evaluate the accessibility of key services such as healthcare, education, and recreation. Through data modeling of the road network, pedestrian paths, and bike lanes, and by calculating shortest paths, travel times, and accessibility metrics, the study identifies strengths, such as 85 % service coverage within a 15 min cycling distance, and weaknesses, including the limited coverage of medical services at only 19 % within walking range. These results underscore critical gaps in urban equity and highlight the need for decentralized service hubs and enhanced public transportation. By leveraging GIS-based methodologies, the research offers actionable insights to improve service accessibility, reduce car dependency, and foster sustainable urban development. This research underscores GIS's transformative role in urban planning, demonstrating how data-driven methodologies can inform sustainable, inclusive, and resilient urban environments while advancing the global discourse on the 15-minute city model. © 2025 Faculty of Engineering, Mansoura University.",The Role of Geographic Information Systems in Promoting the 15-minute City Concept for Sustainable Urban Using Network Analysis: A Case Study: El Rehab City,2025,-minute concept accessibility sustainability ensuring essential service available within min walk bike ride examines feasibility model rehab egypt geographic information system gi network analysis evaluate accessibility service healthcare education recreation data modeling road network pedestrian path bike lane calculating shortest path travel time accessibility metric identifies strength service coverage within min cycling distance weakness limited coverage medical service within walking range underscore critical equity highlight need decentralized service hub enhanced public transportation leveraging gis-based methodology offer actionable improve service accessibility reduce car dependency foster sustainable underscore gi transformative demonstrating data-driven methodology inform sustainable inclusive resilient environment advancing discourse -minute model
"The paper investigates the urban evolution of Londzina Street in Zabrze, Poland, during the late nineteenth and early twentieth centuries. It examines how municipal and private heavy-industrial efforts shaped the city’s development, highlighting the tension between traditional compact urban quarters and the emerging garden city concept. The paper conducts research on urbanism, architecture and history through historical analysis, cartographic review and spatial interpretation. It explores Zabrze’s spatial structure, as a miners’ village and then a town; the garden city concept’s influence on worker estates in England and Germany; and the functional and spatial conflicts during urban formation. The study reveals that industrial enterprises, not municipal authorities, were the primary drivers of modern urban planning solutions in Zabrze, challenging conventional views of city formation in Silesia. © (2025), (Muzeologia a kulturne dedicstvo, o.z). All rights reserved.",Londzina street in Zabrze: architecture and urbanism between the city and the ironworks,2025,investigates evolution londzina street zabrze poland late nineteenth early twentieth century examines municipal private heavy-industrial effort shaped highlighting tension traditional compact quarter emerging garden concept conduct urbanism architecture history historical analysis cartographic review spatial interpretation explores zabrze spatial structure miner village town garden concept worker estate england functional spatial conflict formation reveals industrial enterprise municipal authority primary driver modern solution zabrze challenging conventional view formation silesia
"Urban transformation and urban preservation are often seen as contradicting goals. Currently, there is no agreed-upon strategy on how to transform historic parts of the city while maintaining their heritage values. Many cities today are characterised by modern 20th-century heritage, yet it poses a challenge to their liveability and to the adoption of less car-dependent lifestyles. The concept of 15-minute cities can be used to improve urban liveability, which may positively affect the experience and functionality of modern historic urban landscapes (HUL). A review of the existing literature on the 15-minute city concept was carried out with the aim of identifying its key indicators and proposing possible new ones. This research primarily explores how the 15-minute city concept can be applied holistically and efficiently in modern heritage. Following the PRISMA guidelines, 20 articles published after the introduction of the concept and meeting the inclusion criteria in the Scopus and Web of Science (WoS) databases were reviewed. Selected examples and case studies are analysed to contextualise these variables and explore how they can be reflected in modern historic urban landscapes. As a result, the following variables are identified as central to the 15-minute city concept: mobility, time, distance, speed, functions of the amenities each with their associated indicators. Moreover, spatial characteristics, human-centred factors and heritage values are proposed as variables. The results are expected to give insights into how to operationalise the concept of 15-minute cities in modern sites of historic urban landscapes, in order to improve liveability while simultaneously preserving its values. This research contributes to the Sustainable Development Goals (SDGs) by promoting walkable, climate-resilient neighbourhoods. In particular, it aligns with SDG Target 11.4, which focuses on cultural and natural heritage. © 2025, Polish Mineral Engineering Society. All rights reserved.",A Systematic Review of the 15-Minute City Concept: Indicators for Urban Liveability and Sustainability,2025,transformation preservation often seen contradicting currently agreed-upon strategy transform historic part maintaining heritage value many today characterised modern th-century heritage yet pose liveability adoption less car-dependent lifestyle concept -minute improve liveability positively affect experience functionality modern historic landscape hul review existing literature -minute concept carried aim identifying indicator proposing possible new one primarily explores -minute concept applied holistically efficiently modern heritage following prisma guideline article published introduction concept meeting inclusion criterion scopus web science wos database reviewed selected example case study analysed contextualise variable explore reflected modern historic landscape following variable identified central -minute concept mobility time distance speed function amenity associated indicator spatial human-centred heritage value proposed variable expected give operationalise concept -minute modern site historic landscape order improve liveability simultaneously preserving value contributes sustainable sdgs promoting walkable climate-resilient neighbourhood aligns sdg target focus cultural natural heritage
